file,driver,lap_time_sec
Garage 61 - Alessio Carrino - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.595 - 01JXFP3G96RKMXJJ0GJW786KYG.csv,Alessio Carrino,104.595
Garage 61 - Andrew Kramer - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.302 - 01K0JFVPGJB1B9QS0AGGC4RT9P.csv,Andrew Kramer,104.302
Garage 61 - Attila Kozo - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.42.966 - 01K3PE4K76FDGD67J371VV34HX.csv,Attila Kozo,102.966
Garage 61 - Audun Braastad - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.158 - 01JXGEVDC22P47ERMYKFXGRC5W.csv,Audun Braastad,104.158
Garage 61 - Cassius Braga - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.161 - 01JXQKFE42QBWXNVVWXW1EAWX6.csv,Cassius Braga,104.161
Garage 61 - Christophe Vannobel - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.675 - 01JXDXDX476MA7X2MQRMC3.csv,Christophe Vannobel,104.675
Garage 61 - Cody Meek - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.595 - 01JYYR8BZDCKZT4DWBFV4TBBEZ.csv,Cody Meek,104.595
Garage 61 - Dennis Blomaard - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.008 - 01K3H9PYATB9QDGC4HD704ZDK3.csv,Dennis Blomaard,104.008
Garage 61 - Filip Koniuk - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.152 - 01K3NHZCR100J8Y0J99BV1Q2JH.csv,Filip Koniuk,104.152
Garage 61 - Flatout Sim Racing Rig 1 - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.483 - 01K4GT2NRRFVC11FZ.csv,Flatout Sim Racing Rig 1,104.483
Garage 61 - Flatout Sim Racing Rig 2 - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.43.747 - 01K4GT02RZ0EJ1ZP2.csv,Flatout Sim Racing Rig 2,103.747
Garage 61 - Flatout Sim Racing Rig 4 - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.43.995 - 01K4BWZZYSKWZ991S.csv,Flatout Sim Racing Rig 4,103.995
Garage 61 - Flatout Sim Racing Rig 7 - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.43.940 - 01K4KAVV9Q6VSZHYX.csv,Flatout Sim Racing Rig 7,103.94
Garage 61 - Gerry Verner - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.43.712 - 01K3M5KCGMNK73XSBCY4WNXM5Z.csv,Gerry Verner,103.712
Garage 61 - Jens Homann - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.731 - 01K3ZWJ6XYZ50GNX2Z017JRBZF.csv,Jens Homann,104.731
Garage 61 - Joep van Tilburg - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.077 - 01K3H9KK6VTRKAR5KNAH2QC0T.csv,Joep van Tilburg,104.077
Garage 61 - John Knie - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.612 - 01JYYR854T1XRZEKA5F6GMTNNH.csv,John Knie,104.612
Garage 61 - Kiss Benedek - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.437 - 01K0PAXE7M3HW6STBZ7XN3W5EE.csv,Kiss Benedek,104.437
Garage 61 - Leonard Both - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.42.856 - 01K0P94QDEHHR7K77QQG30GQY0.csv,Leonard Both,102.856
Garage 61 - Luke Tyler - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.107 - 01JYYR7KWF5XAC1D14HK5NAHDR.csv,Luke Tyler,104.107
Garage 61 - Maik Schmidt - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.596 - 01K3XKND350RR8NFAX0B80HFZZ.csv,Maik Schmidt,104.596
Garage 61 - Marco Hoekstra - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.517 - 01K3HA1CG073JC2K87MG49HJ87.csv,Marco Hoekstra,104.517
Garage 61 - Patrick Strijdonck - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.215 - 01K3H9NW973PEKTASW8NV09.csv,Patrick Strijdonck,104.215
Garage 61 - Ricardo Valero García - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.714 - 01K43H04CF7P5H1ECH89.csv,Ricardo Valero García,104.714
Garage 61 - Sjors Busscher - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.113 - 01K3H64TMBAXJ8RYPFZ60BR9SK.csv,Sjors Busscher,104.113
