file,driver,lap_time_sec
Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,Abby Evans,76.858
Garage 61 - Adam Hernandez - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.919 - 01K5QS9FYQPQWJ0ZF0HAG1AJ1M.csv,Adam Hernandez,77.919
Garage 61 - Adrian Lopez Muñoz - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.402 - 01K53XHMPWABNXSJKN9BJP9ND6.csv,Adrian Lopez Muñoz,77.402
Garage 61 - Al Lotufo - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.004 - 01K5N2GSK3B4SPRYZNQVMHBK1X.csv,Al Lotufo,77.004
Garage 61 - Aleksey Osinsky - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.694 - 01K5KTP3DP6HJNRQ47A0SWXKZS.csv,Aleksey Osinsky,77.694
Garage 61 - Alessandro Alessio - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.811 - 01K5NMHX11PQQCN8T2PAHGH15K.csv,Alessandro Alessio,76.811
Garage 61 - Andre Grove - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.187 - 01K5PJA24GPGE2WGQ482EGFMBM.csv,Andre Grove,77.187
Garage 61 - Andrew H - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.912 - 01K59535QEVYV8DETT7APXHBJ9.csv,Andrew H,77.912
Garage 61 - Andrew Zuniga - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.902 - 01K5N9J5PMX022BVAERSEZGB6M.csv,Andrew Zuniga,77.902
Garage 61 - Asier Menaoum Baigorri - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.154 - 01K5PQJFJNGXNMRDRVVG7E3KPB.csv,Asier Menaoum Baigorri,77.154
Garage 61 - Awuitoh Fabrice - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.650 - 01K5EFBD7MRCS40M7Q32J49NE3.csv,Awuitoh Fabrice,74.65
Garage 61 - Aymerick Schuller - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.393 - 01K5Q4W1ACP8NA2M06G229XTDK.csv,Aymerick Schuller,77.393
Garage 61 - Bailey Howard - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.684 - 01K5NFBNWSG0YJMC4MHDP2P84S.csv,Bailey Howard,77.684
Garage 61 - Bart Borgeling - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.13.753 - 01K5REVEARDRKC8SPJ06FGQY5S.csv,Bart Borgeling,73.753
