Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
69.316864,0.000387586,45.616216331067015,9.280808009864662,0,1,7107.315,-0.006294528,6,1,false,false,-2.153051,1.7879485,9.3812475,-3.1040742,-0.027810471,3
69.34858,0.0005889825,45.616226678300734,9.280808779144719,0,1,7123.5566,-0.0021786946,6,1,false,false,-1.8266053,2.1093056,9.358434,-3.104482,-0.020792684,3
69.38067,0.0007904705,45.61623711504719,9.280809676768548,0,1,7117.312,-0.00605297,6,1,false,false,-1.6647748,1.92624,9.86677,-3.1047637,-0.01364925,3
69.40993,0.0009920473,45.6162474622809,9.280810574392378,0,1,7131.1426,-0.0062945285,6,1,false,false,-1.5739032,1.8567569,8.108066,-3.1049573,-0.009102433,3
69.44311,0.0011936994,45.616257899576524,9.280811472016207,0,1,7139.561,-0.013558094,6,1,false,false,-1.7415559,2.1948164,9.632744,-3.1050858,-0.006440871,3
69.470474,0.0013954393,45.61626824626108,9.280812369640037,0,1,7145.2554,-0.015253673,6,1,false,false,-1.2160927,1.7088652,8.125094,-3.1051884,-0.005298991,3
69.50596,0.0015972669,45.61627868355669,9.280813267263866,0,1,7151.5664,-0.018158909,6,1,false,false,-1.4382825,2.1185231,10.348807,-3.1052725,-0.0048109964,3
69.53663,0.0017991768,45.61628903024125,9.280814293231469,0,1,7149.2227,-0.019853553,6,1,false,false,-1.2785615,1.8548938,9.023279,-3.105371,-0.007020583,3
69.570694,0.0020011645,45.61629946753687,9.280815190072714,0,1,7164.6753,-0.021548199,6,1,false,false,-1.6113473,2.2927685,10.03925,-3.1055157,-0.009825165,3
69.605644,0.0022032578,45.61630990428333,9.280816087696543,0,1,7146.268,-0.022274744,6,1,false,false,-1.0444188,2.2237847,9.477428,-3.1056936,-0.0115959635,3
69.63738,0.0024054365,45.616320341029784,9.280816985320373,0,1,7140.166,-0.014768683,6,1,false,false,-1.3066988,1.767629,8.945624,-3.105897,-0.012472441,3
69.66743,0.002607704,45.6163307783254,9.280817882944202,0,1,7151.7563,-0.0154952295,6,1,false,false,-1.1643193,1.7586484,9.87876,-3.1060934,-0.010447954,3
69.69742,0.002810034,45.616341215071856,9.280818908911804,0,1,7169.2793,-0.017432366,6,1,false,false,-1.3285359,1.7935613,9.503766,-3.1062636,-0.011068799,3
69.73074,0.0030124641,45.61635156230557,9.280819806535634,0,1,7170.929,-0.02009511,6,1,false,false,-1.1425496,2.193488,11.192836,-3.1064544,-0.012316697,3
69.76501,0.003214981,45.616361999052025,9.280820704159463,0,1,7155.115,-0.0215482,6,1,false,false,-1.0154186,2.0208764,10.90375,-3.1066809,-0.014154405,3
69.79731,0.0034175937,45.61637252640954,9.280821729344481,0,1,7162.57,-0.020580102,6,1,false,false,-1.4931412,2.031973,11.004377,-3.1069195,-0.014607773,3
69.82808,0.003620285,45.616382963156,9.28082262696831,0,1,7152.3057,-0.0205801,6,1,false,false,-0.86660117,1.8037287,10.630903,-3.1071382,-0.011993776,3
69.8578,0.0038230503,45.616393400451614,9.280823652935913,0,1,7161.256,-0.019853557,6,1,false,false,-0.58753484,1.7222232,10.2631645,-3.1073256,-0.010390014,3
69.88392,0.004025903,45.61640383719807,9.280824550559743,0,1,7185.7476,-0.018158915,6,1,false,false,-1.1038792,1.7284553,8.674202,-3.1074998,-0.010939575,3
69.91623,0.0042288224,45.61641427394453,9.280825575744762,0,1,7188.52,-0.014527131,6,1,false,false,-0.8933566,2.0611186,9.015074,-3.1076865,-0.010662325,3
69.94795,0.0044318265,45.616424801302045,9.28082647336859,0,1,7183.7124,-0.01597928,6,1,false,false,-0.9417377,1.9501827,10.758752,-3.1078496,-0.009577417,3
69.97895,0.004634919,45.6164352380485,9.280827499336194,0,1,7192.7695,-0.016220836,6,1,false,false,-0.9677582,1.8805678,8.599404,-3.108026,-0.011391565,3
70.01126,0.0048379735,45.61644567534412,9.280828396960022,0,1,7199.4897,-0.01501118,6,1,false,false,-0.819662,2.29827,10.348812,-3.108221,-0.01125081,3
70.044014,0.00504108,45.61645620215248,9.280829422927626,0,1,7181.1426,-0.018884523,6,1,false,false,-1.1357149,1.815378,10.325554,-3.1083922,-0.010307152,3
70.073555,0.005244256,45.616466638898935,9.280830448112644,0,1,7204.504,-0.01791642,6,1,false,false,-0.64045227,1.8665245,9.313258,-3.108575,-0.01157863,3
70.10688,0.0054473756,45.61647716625645,9.280831345736473,0,1,7193.0757,-0.017674863,6,1,false,false,-0.89820915,2.1797338,11.27637,-3.1087627,-0.010968637,3
70.1368,0.005650589,45.61648769306481,9.280832371704076,0,1,7189.6895,-0.020337602,6,1,false,false,-0.8232753,1.6857388,9.686397,-3.1089501,-0.011998989,3
