Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
69.840675,0.00024917733,45.616210842782664,9.280778519752406,0,1,7166.2656,-0.0027445978,6,1,false,false,-2.2678454,1.9458387,10.80558,-3.1196718,-0.01692028,3
69.86848,0.00045190228,45.616221280078285,9.280779545720009,0,1,7177.3765,-0.0007217624,6,1,false,false,-1.7713605,1.7933668,8.683455,-3.1199143,-0.012666549,3
69.90145,0.00065471465,45.61623180688664,9.2807806992488,0,1,7194.4087,0.003611606,6,1,false,false,-1.5918365,2.2314112,11.117891,-3.1201155,-0.011490313,3
69.9353,0.00085762737,45.616242243633096,9.280781853560176,0,1,7179.925,0.0062120743,6,1,false,false,-0.7459266,1.9820018,9.608477,-3.120267,-0.006557229,3
69.967834,0.0010606224,45.61625268092871,9.280783007871552,0,1,7186.6465,0.005200378,6,1,false,false,-1.5028099,2.054465,10.540992,-3.120328,-0.0011172976,3
69.999596,0.0012637207,45.61626311767517,9.280784033056571,0,1,7181.4854,0.003322789,6,1,false,false,-0.9173789,1.7339473,9.0366335,-3.1203,0.0041125678,3
70.02732,0.0014669008,45.616273645032685,9.280785187367947,0,1,7211.418,-0.0015887716,6,1,false,false,-1.2891694,2.011703,9.262705,-3.1202366,0.0023544976,3
70.06191,0.0016701606,45.61628408177914,9.28078634089674,0,1,7195.935,-0.005200377,6,1,false,false,-1.3657303,2.059553,8.701332,-3.1202214,0.0004351603,3
70.09213,0.0018735104,45.6162946085875,9.280787495208115,0,1,7210.031,-0.012857094,6,1,false,false,-1.3234193,1.8922908,8.882043,-3.120219,-2.519042e-05,3
70.12474,0.0020769634,45.61630504588312,9.28078864951949,0,1,7213.1313,-0.019646803,6,1,false,false,-0.73670864,2.0755718,8.621581,-3.12024,-0.0023588382,3
70.156746,0.0022804935,45.61631557269148,9.280789803048282,0,1,7208.4546,-0.019068047,6,1,false,false,-0.8923471,1.8997842,8.593116,-3.1203077,-0.0044405116,3
70.18841,0.002484105,45.616326009437934,9.280790957359658,0,1,7218.055,-0.024991306,6,1,false,false,-0.6987436,1.9063694,9.759512,-3.1203735,-0.0033935353,3
70.22031,0.0026878193,45.61633653679545,9.28079211088845,0,1,7226.778,-0.024991307,6,1,false,false,-0.67598814,1.8703798,11.031567,-3.1204724,-0.009408979,3
70.253006,0.002891615,45.616347063603804,9.280793265199826,0,1,7231.9062,-0.023691352,6,1,false,false,-1.2650545,2.1698806,10.531351,-3.120673,-0.014935106,3
70.29065,0.0030955237,45.61635750035026,9.280794418728618,0,1,7204.639,-0.024413671,6,1,false,false,-1.1423163,2.0529053,11.196601,-3.1209538,-0.018154355,3
70.318634,0.0032995127,45.61636802770778,9.280795701383768,0,1,7214.7114,-0.025857754,6,1,false,false,-1.1677871,1.6610837,10.4579525,-3.1212802,-0.02195948,3
70.34944,0.003503583,45.61637855451614,9.280796854912559,0,1,7227.316,-0.023546666,6,1,false,false,-1.7027079,1.9218482,9.411511,-3.1216738,-0.02483548,3
70.38105,0.0037077442,45.6163890813245,9.280798009223936,0,1,7221.2466,-0.024413677,6,1,false,false,-1.0944988,1.9714344,10.515478,-3.1220737,-0.022656072,3
70.40961,0.0039119856,45.61639960813285,9.280799162752727,0,1,7231.2144,-0.024268989,6,1,false,false,-1.2564673,1.6378411,8.616659,-3.1224492,-0.022295423,3
70.4393,0.0041163084,45.61641013549037,9.280800317064104,0,1,7258.531,-0.021813199,6,1,false,false,-1.4491487,2.0154438,9.580924,-3.1228285,-0.023088582,3
70.474495,0.004320721,45.61642066229873,9.28080159893667,0,1,7241.0396,-0.01560113,6,1,false,false,-0.5935086,2.2267158,9.903536,-3.123217,-0.022489104,3
70.50721,0.0045252363,45.61643118910709,9.280802753248045,0,1,7238.5,-0.014301177,6,1,false,false,-1.6826063,1.9080898,11.357617,-3.123573,-0.020707458,3
70.53725,0.004729816,45.6164417164646,9.280803906776837,0,1,7243.068,-0.012712404,6,1,false,false,-1.0244613,1.8770045,8.959391,-3.1239007,-0.018890519,3
70.57041,0.004934409,45.61645224327296,9.280805189431986,0,1,7243.5605,-0.011123074,6,1,false,false,-1.8678558,2.0402255,10.521924,-3.1242087,-0.0177204,3
70.59976,0.0051390952,45.61646286014322,9.280806342960778,0,1,7243.375,-0.012134771,6,1,false,false,-1.2047555,1.7152435,10.036926,-3.1244826,-0.015586606,3
70.62882,0.0053438074,45.616473386951576,9.280807625615926,0,1,7257.5195,-0.007656159,6,1,false,false,-1.135413,1.8614166,8.766651,-3.1247423,-0.014962547,3
70.66149,0.0055485684,45.61648391430909,9.280808779144719,0,1,7251.3657,-0.00982312,6,1,false,false,-1.6256053,2.0475676,11.310043,-3.1249592,-0.011227115,3
70.690605,0.005753424,45.61649453117935,9.280810061799869,0,1,7261.7124,-0.010834258,6,1,false,false,-0.6304305,1.7364227,9.471276,-3.1251256,-0.009549313,3
70.72353,0.005958353,45.61650505798771,9.28081121532866,0,1,7274.6753,-0.00823379,6,1,false,false,-0.9422881,2.332276,10.686604,-3.1252928,-0.010241296,3
70.75495,0.006163377,45.61651567485797,9.28081249798381,0,1,7246.0586,-0.0104007535,6,1,false,false,-1.408901,1.9071951,10.579521,-3.125445,-0.008210541,3
70.78401,0.0063684816,45.616526201666325,9.280813779856375,0,1,7267.046,-0.013290041,6,1,false,false,-0.9615681,1.8122913,9.516872,-3.125574,-0.008424031,3
70.81312,0.0065736775,45.61653681853659,9.28081493416775,0,1,7278.9385,-0.013434728,6,1,false,false,-1.3221773,1.8599348,9.905953,-3.1257286,-0.009961201,3
70.84416,0.0067789587,45.616547435956,9.280816216040316,0,1,7269.3633,-0.016901646,6,1,false,false,-1.4807647,1.9127442,10.444901,-3.1258886,-0.009319801,3
70.87341,0.0069843167,45.61655796276436,9.280817498695466,0,1,7275.6265,-0.018635102,6,1,false,false,-0.8814921,1.677752,8.924366,-3.126045,-0.009314031,3
70.90037,0.0071897493,45.61656857963462,9.280818780568032,0,1,7293.268,-0.018345727,6,1,false,false,-0.96118873,1.8399796,8.801183,-3.1262085,-0.009438062,3
70.93122,0.007395273,45.61657919650488,9.280819934096822,0,1,7290.035,-0.017190456,6,1,false,false,-0.50971407,1.8038946,7.7592926,-3.1263754,-0.009609041,3
70.95982,0.007600879,45.616589813375136,9.280821216751972,0,1,7311.5776,-0.014301175,6,1,false,false,-1.1055074,1.9532421,8.837153,-3.1265488,-0.010281076,3
70.99207,0.007806579,45.61660034073265,9.280822498624538,0,1,7316.3564,-0.015457002,6,1,false,false,-0.5546738,2.1043668,9.769631,-3.1267176,-0.0103588365,3
71.0277,0.008012358,45.61661095760291,9.280823781279686,0,1,7302.1577,-0.013434729,6,1,false,false,-1.1583495,2.297442,11.290696,-3.1269166,-0.014459251,3
71.06078,0.008218254,45.61662157447317,9.280825063152252,0,1,7279.009,-0.011700712,6,1,false,false,-1.330218,1.7025691,10.46656,-3.1271486,-0.013646877,3
71.088135,0.00842422,45.61663219134343,9.280826345024817,0,1,7291.7188,-0.0128570935,6,1,false,false,-0.7316034,1.7070296,9.90778,-3.127352,-0.010448488,3
71.11562,0.008630267,45.61664280821368,9.280827627679967,0,1,7295.5547,-0.01155658,6,1,false,false,-0.794767,1.7220776,9.389065,-3.127515,-0.008799878,3
71.14108,0.0088363895,45.61665351514584,9.280828909552532,0,1,7315.525,-0.010978386,6,1,false,false,-0.9428066,1.5968482,8.265548,-3.1276522,-0.0061557475,3
71.16948,0.009042591,45.616664132016105,9.28083019220768,0,1,7337.469,-0.013723545,6,1,false,false,-0.70331013,1.8940758,10.282694,-3.1277425,-0.005034544,3
71.20276,0.009248875,45.61667474888636,9.280831474080246,0,1,7330.1455,-0.014012362,6,1,false,false,-0.7632225,2.0459995,9.851382,-3.127851,-0.008139866,3
71.23814,0.009455266,45.61668536575662,9.280832755952812,0,1,7320.568,-0.016323453,6,1,false,false,-1.111424,2.1970775,11.599107,-3.1280198,-0.012009938,3
71.27119,0.009661751,45.61669607268878,9.280834038607962,0,1,7298.025,-0.018345727,6,1,false,false,-1.6419438,1.7307546,11.404526,-3.128231,-0.013955765,3
71.29899,0.00986832,45.61670668955904,9.280835320480527,0,1,7312.1973,-0.016612832,6,1,false,false,-0.43198103,1.7252449,10.655487,-3.128452,-0.013281372,3
71.32699,0.010074967,45.61671730697845,9.280836603135675,0,1,7314.501,-0.0177681,6,1,false,false,-0.9931344,1.7932949,10.978505,-3.1286662,-0.0118397875,3
71.35433,0.010281696,45.61672801336145,9.280837885008241,0,1,7323.425,-0.020224437,6,1,false,false,-1.3609791,1.6192858,10.046391,-3.1288466,-0.010495761,3
71.38235,0.010488498,45.61673863078087,9.28083929522458,0,1,7336.0015,-0.017335147,6,1,false,false,-0.68306005,1.8870698,8.759483,-3.1290348,-0.012440041,3
71.4117,0.01069538,45.61674933771303,9.28084057787973,0,1,7328.8496,-0.01776809,6,1,false,false,-0.6350909,1.6762419,8.311497,-3.1292431,-0.012506402,3
71.43763,0.010902347,45.61676004464519,9.280841859752295,0,1,7344.1143,-0.0150235,6,1,false,false,-0.9144513,1.5602443,7.769012,-3.1294622,-0.012167686,3
71.46529,0.011109385,45.616770661515446,9.280843142407443,0,1,7367.045,-0.01661283,6,1,false,false,-0.41596127,1.7313912,7.9919076,-3.1296442,-0.008888696,3
71.496025,0.011316506,45.616781368447604,9.280844552623781,0,1,7372.09,-0.020369127,6,1,false,false,-0.29282144,2.0699255,8.70968,-3.1297922,-0.009502135,3
71.52956,0.011523723,45.61679207537976,9.280845834496347,0,1,7353.098,-0.018635107,6,1,false,false,-1.1140854,1.9539629,9.846754,-3.1299813,-0.012788898,3
71.559906,0.011731018,45.616802692250026,9.280847117151497,0,1,7354.1543,-0.021379698,6,1,false,false,-1.2972959,1.8310349,8.66395,-3.1302133,-0.015438205,3
71.59019,0.011938411,45.616813399182185,9.280848527367835,0,1,7360.375,-0.023257852,6,1,false,false,-0.7503444,1.9334068,10.3864765,-3.130472,-0.015758129,3
71.620476,0.012145894,45.61682410611434,9.2808498092404,0,1,7349.7627,-0.02412486,6,1,false,false,-1.1477176,1.7969631,10.67042,-3.130736,-0.016191823,3
71.65025,0.01235345,45.6168348130465,9.28085121945674,0,1,7355.874,-0.026724767,6,1,false,false,-1.3056904,1.8358974,11.190417,-3.1310198,-0.018003324,3
71.67976,0.0125611015,45.61684551997866,9.28085250211189,0,1,7357.4526,-0.028891733,6,1,false,false,-1.3535584,1.8990692,11.068034,-3.131327,-0.019627342,3
71.70818,0.012768838,45.61685622636166,9.280853912328228,0,1,7352.4653,-0.027014138,6,1,false,false,-1.2037513,1.6698143,9.984967,-3.131662,-0.020673055,3
71.7354,0.012976646,45.61686693329382,9.280855194200793,0,1,7361.3374,-0.026147129,6,1,false,false,-1.1792778,1.7511951,10.855216,-3.132014,-0.02163947,3
71.76378,0.013184535,45.61687764022598,9.280856605199714,0,1,7366.4517,-0.024413677,6,1,false,false,-1.2065945,1.6504033,10.037416,-3.132384,-0.02301089,3
71.79044,0.013392505,45.61688834715814,9.28085788707228,0,1,7384.307,-0.019646805,6,1,false,false,-1.26746,1.7521961,11.0042515,-3.1327722,-0.023702143,3
71.82072,0.013600549,45.6168991441522,9.28085929728862,0,1,7376.0845,-0.017479833,6,1,false,false,-0.8808375,1.7462859,9.877611,-3.133154,-0.021977318,3
71.84913,0.013808678,45.61690985108436,9.280860708287541,0,1,7377.904,-0.016323447,6,1,false,false,-1.4362501,1.8282855,8.617301,-3.1334925,-0.018770913,3
71.87656,0.014016901,45.61692055801652,9.280861990160107,0,1,7377.573,-0.016901648,6,1,false,false,-1.489417,1.5834922,7.5885553,-3.1337953,-0.01675145,3
71.90233,0.014225185,45.616931264948676,9.280863400376445,0,1,7404.005,-0.022102024,6,1,false,false,-1.4921978,1.6809357,8.617484,-3.1340923,-0.019293074,3
71.9317,0.014433552,45.61694206194274,9.280864810592785,0,1,7408.917,-0.026002446,6,1,false,false,-2.0104816,1.8972001,8.231463,-3.1344452,-0.021847418,3
71.96416,0.014642001,45.616952768874896,9.280866221591706,0,1,7405.8955,-0.030769322,6,1,false,false,-1.582464,2.1271255,11.003093,-3.1348217,-0.02384677,3
71.99519,0.014850548,45.61696356586896,9.280867631808045,0,1,7391.207,-0.031636328,6,1,false,false,-1.8644303,1.7755595,10.673803,-3.1352384,-0.026779545,3
72.02497,0.015059169,45.616974272801116,9.28086891368061,0,1,7394.868,-0.030481055,6,1,false,false,-2.1587968,1.8188418,11.752056,-3.1356947,-0.028402746,3
72.05322,0.015267884,45.61698506924601,9.280870324679533,0,1,7395.1733,-0.027880032,6,1,false,false,-1.6982851,1.7344697,11.200182,-3.1361725,-0.029988892,3
72.08231,0.015476683,45.61699577617817,9.280871863239646,0,1,7393.795,-0.017912786,6,1,false,false,-1.613483,1.8578453,11.039185,-3.136664,-0.029416863,3
72.108665,0.015685558,45.61700657317223,9.280873273455985,0,1,7388.572,-0.006789148,6,1,false,false,-1.6947252,1.4882408,9.959933,-3.137117,-0.024038753,3
