Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
70.151115,0.00029227283,45.61621066320802,9.280820704159463,0,1,7185.8755,0.0029043022,6,1,false,false,-0.69694513,1.4179857,9.215728,-3.1107628,0.0018595504,3
70.178696,0.0004962425,45.61622119001638,9.280821729344481,0,1,7236.155,-0.004358139,6,1,false,false,-0.8635519,2.200808,10.925295,-3.1107407,0.00023574736,3
70.21357,0.0007002918,45.61623162676284,9.280822755312084,0,1,7214.512,-0.011330709,6,1,false,false,-0.898349,1.9796259,9.545953,-3.1107395,-2.1476649e-07,3
70.247215,0.00090444117,45.61624215412036,9.280823781279686,0,1,7228.063,-0.018014539,6,1,false,false,-0.7223983,2.064913,9.926412,-3.1107495,-0.0013786526,3
70.27998,0.0011086802,45.61625268092871,9.280824806464706,0,1,7227.7095,-0.020628974,6,1,false,false,-0.6586082,2.0253294,9.641156,-3.1108007,-0.0043625003,3
70.31433,0.0013130064,45.61626320773707,9.280825832432308,0,1,7231.271,-0.017723545,6,1,false,false,-1.0177952,2.1477191,7.99683,-3.1108801,-0.0049601793,3
70.34713,0.0015174344,45.61627373454543,9.28082685839991,0,1,7231.0107,-0.015398976,6,1,false,false,-0.20227598,2.0658545,10.088735,-3.1109614,-0.0048579187,3
70.37722,0.0017219351,45.61628426190295,9.280827884367513,0,1,7236.382,-0.009588131,6,1,false,false,-0.53212905,1.6269748,7.7141247,-3.1110668,-0.0068971575,3
70.40739,0.0019265137,45.6162947887113,9.280828909552532,0,1,7273.4194,-0.00435814,6,1,false,false,-0.24036273,2.1883857,8.539654,-3.111183,-0.0057791923,3
70.44548,0.0021311918,45.61630531551966,9.280829935520135,0,1,7246.752,-0.0037772781,6,1,false,false,-0.76109904,2.2543945,9.47042,-3.1112716,-0.0051517366,3
70.47923,0.002335963,45.61631584232802,9.280830961487737,0,1,7245.015,-0.012203686,6,1,false,false,0.237474,2.073621,8.617446,-3.1113422,-0.0034458481,3
70.51146,0.0025408252,45.61632636968554,9.280831986672755,0,1,7249.571,-0.0124935545,6,1,false,false,-0.7475695,2.0613987,9.397321,-3.1114237,-0.006660738,3
70.54339,0.0027457627,45.616336986555794,9.28083301264036,0,1,7255.266,-0.013075538,6,1,false,false,-0.6638715,1.853177,9.109723,-3.1115453,-0.006661636,3
70.57578,0.0029507992,45.616347513364154,9.280834038607962,0,1,7275.7793,-0.02585784,6,1,false,false,-0.35621345,2.3177629,11.0285425,-3.1116722,-0.010345778,3
70.61253,0.0031559253,45.61635804017251,9.280835064575564,0,1,7256.851,-0.02905426,6,1,false,false,-1.3051674,2.1422186,10.890517,-3.1118948,-0.016113356,3
70.64923,0.0033611457,45.61636865759193,9.280836218104357,0,1,7245.1826,-0.0284734,6,1,false,false,-0.9031957,2.210331,11.492179,-3.112184,-0.019519104,3
70.679665,0.0035664563,45.61637918440029,9.280837244071959,0,1,7241.6455,-0.024987105,6,1,false,false,-0.71708834,1.769154,11.440542,-3.1125293,-0.0215984,3
70.70871,0.0037718527,45.61638980127054,9.280838270039562,0,1,7260.989,-0.018304408,6,1,false,false,-1.2813736,1.9103018,10.387419,-3.1128983,-0.022545662,3
70.74001,0.0039773257,45.6164003280789,9.28083929522458,0,1,7262.3335,-0.011912694,6,1,false,false,-0.7436338,1.9290044,9.4883175,-3.1132517,-0.019958014,3
70.77041,0.0041828775,45.61641094494916,9.280840449535956,0,1,7269.9736,-0.0072646886,6,1,false,false,-0.2779532,1.9784346,8.237749,-3.1135645,-0.017181415,3
70.801285,0.004388512,45.616421561819415,9.280841475503559,0,1,7280.317,-0.0043581394,6,1,false,false,-1.2863537,2.013408,9.832654,-3.1138446,-0.015683435,3
70.82983,0.004594226,45.61643208917693,9.280842500688577,0,1,7293.942,-0.015398982,6,1,false,false,-0.862671,1.6566882,8.101393,-3.1140723,-0.012702793,3
70.86281,0.0047999104,45.616442706047195,9.280843526656179,0,1,7310.295,-0.03137882,6,1,false,false,-1.1752163,2.3761613,9.539506,-3.1142998,-0.015908735,3
70.90123,0.0050056013,45.61645332291745,9.280844680967556,0,1,7271.04,-0.03602682,6,1,false,false,-1.737829,2.0024202,10.250528,-3.1146014,-0.020195788,3
70.9307,0.005211385,45.61646393978771,9.280845706152574,0,1,7293.663,-0.035445973,6,1,false,false,-1.4418197,1.945599,9.265051,-3.1149888,-0.025228674,3
70.96309,0.005417046,45.61647455665797,9.28084686046395,0,1,7291.4683,-0.03602682,6,1,false,false,-1.6039513,2.1554122,10.378688,-3.115406,-0.025002997,3
70.995636,0.005622807,45.616485173528226,9.280847886431554,0,1,7288.527,-0.031668685,6,1,false,false,-1.3258175,1.899889,9.449967,-3.115838,-0.026654053,3
71.025116,0.0058286423,45.61649579039849,9.280849039960344,0,1,7311.3755,-0.02701956,6,1,false,false,-1.5789319,2.0330782,10.582097,-3.1162958,-0.028286628,3
71.06014,0.006034571,45.6165064078179,9.280850065927947,0,1,7287.734,-0.024406249,6,1,false,false,-1.972433,1.8755608,9.822555,-3.1167655,-0.027854268,3
71.08864,0.006240584,45.61651702468816,9.28085121945674,0,1,7305.2305,-0.017723547,6,1,false,false,-1.2034942,1.8027568,9.669364,-3.1172159,-0.02605129,3
71.11967,0.0064466665,45.61652764155842,9.280852373768115,0,1,7307.502,-0.010459978,6,1,false,false,-1.7401938,1.9587783,9.6485,-3.1176274,-0.023521041,3
71.149315,0.006652842,45.616538258428676,9.280853528079492,0,1,7319.238,-0.0029065488,6,1,false,false,-0.9919634,1.9463015,9.049491,-3.1179855,-0.01908098,3
71.18167,0.0068590953,45.616548965360835,9.28085455326451,0,1,7324.945,0.0046468833,6,1,false,false,-1.0619214,2.1349082,10.820536,-3.118267,-0.014578252,3
71.21472,0.0070654443,45.6165595822311,9.280855707575887,0,1,7313.9736,0.0081342915,6,1,false,false,-1.7461243,1.8713579,10.394607,-3.118466,-0.008975035,3
71.24465,0.007271878,45.61657019910135,9.280856861104677,0,1,7322.6143,0.00087072805,6,1,false,false,-0.81513596,1.9504237,9.175646,-3.1185489,-0.001960761,3
71.277275,0.0074783936,45.61658090603351,9.280858015416054,0,1,7323.367,-0.00029099203,6,1,false,false,-0.8805943,1.9804268,9.39854,-3.1185815,-0.0019104597,3
71.304794,0.0076849908,45.61659152290377,9.28085916972743,0,1,7339.393,0.0017425813,6,1,false,false,-1.39667,1.9058414,11.0313635,-3.1186037,-0.00044984388,3
