Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
44.022984,0.0003722515,35.352282438839666,-80.68565552944993,0,1,6235.4443,0.08062342,3,1,false,false,-0.035333216,5.087144,8.066884,0.0026756984,0.029094886,3
44.109615,0.00057537475,35.35227603902554,-80.68565772976882,0,1,6212.872,0.07820174,3,1,false,false,0.19534516,5.1610584,11.718067,0.0031437122,0.024147123,3
44.192856,0.0007788954,35.35226963948648,-80.68565993025558,0,1,6184.4727,0.07602309,3,1,false,false,1.0831728,4.8087544,13.077852,0.0035263265,0.023138048,3
44.267128,0.0009827889,35.35226323994742,-80.68566213057449,0,1,6186.756,0.0743284,3,1,false,false,-0.018337727,4.12106,7.4262094,0.0039334395,0.024271993,3
44.333115,0.001186995,35.35225684040836,-80.68566433089337,0,1,6245.9478,0.073844366,3,1,false,false,-0.5378745,3.8163216,5.897955,0.0042939098,0.020161355,3
44.398396,0.0013914963,35.35225044059423,-80.68566653121226,0,1,6288.9385,0.07118067,3,1,false,false,-0.034973383,4.122058,8.545543,0.004495837,0.015445479,3
44.474403,0.0015963353,35.35224404105517,-80.68566873153115,0,1,6268.318,0.07069664,3,1,false,false,0.25399983,4.706747,11.40985,0.00460065,0.015932314,3
44.552513,0.00180153,35.35223755129265,-80.68567093201793,0,1,6251.322,0.07311782,3,1,false,false,-0.29124996,4.402176,9.214218,0.0047602532,0.013724448,3
44.62221,0.002007071,35.35223115175359,-80.68567313233682,0,1,6325.419,0.07674962,3,1,false,false,-0.255737,3.9268632,8.597026,0.00497569,0.009196224,3
44.691956,0.0022129244,35.35222466199108,-80.6856753326557,0,1,6407.302,0.08038141,3,1,false,false,-0.06867385,4.4345064,10.13757,0.0052127363,0.006602758,3
44.781082,0.0024191411,35.35221817222856,-80.68567764309967,0,1,6364.183,0.08425521,3,1,false,false,-0.17201781,5.491112,10.373954,0.0054377997,0.006187601,3
44.87706,0.0026257874,35.35221168246604,-80.68567984341855,0,1,6247.7524,0.08643342,3,1,false,false,0.10903841,5.7056317,11.491463,0.005617243,0.007514282,3
44.960224,0.002832856,35.35220519270352,-80.68568204373744,0,1,6226.0806,0.08788602,3,1,false,false,0.5580571,4.2332907,10.89874,0.0057872264,0.012708243,3
