Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
44.583115,0.0003495768,35.35228433160684,-80.6856609203739,0,1,6268.985,-0.032201987,3,1,false,false,-1.7322998,4.7517605,8.6254225,0.014782719,-0.035733227,3
44.662937,0.0005552641,35.35227793206778,-80.68566301073561,0,1,6269.136,-0.033655077,3,1,false,false,-2.0691042,4.6729517,11.044273,0.014230384,-0.031990793,3
44.739765,0.0007613136,35.35227144230526,-80.68566510109731,0,1,6275.1597,-0.034623176,3,1,false,false,-2.5310335,4.3996673,10.5629225,0.013724666,-0.031029345,3
44.814285,0.0009677084,35.35226495254274,-80.6856673014162,0,1,6281.168,-0.035349723,3,1,false,false,-2.5411818,4.328646,7.7703185,0.013257424,-0.028537527,3
44.886215,0.0011744393,35.35225837255676,-80.6856693917779,0,1,6299.1416,-0.03583471,3,1,false,false,-2.438521,4.239918,7.264482,0.012794587,-0.02644321,3
44.95738,0.0013815062,35.35225188279424,-80.68567159209681,0,1,6309.687,-0.038739942,3,1,false,false,-2.0101848,4.276572,8.981867,0.012348095,-0.019002158,3
45.031883,0.001588901,35.35224539303172,-80.6856737924157,0,1,6301.6006,-0.040918637,3,1,false,false,-3.1448402,4.51957,10.480899,0.011904438,-0.02347221,3
45.10761,0.0017966577,35.35223881332082,-80.6856758827774,0,1,6313.5137,-0.04309827,3,1,false,false,-2.402037,4.4241076,10.930838,0.011342795,-0.03631957,3
45.179806,0.0020047503,35.3522323235583,-80.68567808309629,0,1,6359.429,-0.041645188,3,1,false,false,-2.337253,4.105584,9.962812,0.010649209,-0.0516526,3
45.250572,0.0022131705,35.35222574357232,-80.68568028341518,0,1,6399.252,-0.039224,3,1,false,false,-2.239188,4.312698,9.529331,0.00982893,-0.058892716,3
45.330803,0.002421935,35.35221916358634,-80.68568248373408,0,1,6383.9907,-0.036802813,3,1,false,false,-3.1077123,4.8559484,10.033232,0.008976244,-0.05452214,3
45.413025,0.0026310761,35.35221258387543,-80.68568468422085,0,1,6328.0938,-0.03510723,3,1,false,false,-2.495041,4.8802576,11.496746,0.008175979,-0.045149837,3
45.4894,0.0028405779,35.35220600388945,-80.68568688453973,0,1,6317.197,-0.033412587,3,1,false,false,-2.2746396,4.2179074,10.833878,0.0075307405,-0.030089129,3
45.554306,0.003050407,35.35219942390347,-80.68568919481582,0,1,6363.964,-0.030749843,3,1,false,false,-2.962054,3.721892,10.173595,0.0070496555,-0.025495557,3
