Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
43.396103,0.00023140655,35.35228667521624,-80.68565321917384,0,1,6133.9243,-0.012758568,3,1,false,false,-1.0595391,4.5908546,7.6879616,0.0048177973,-0.017668422,3
43.477673,0.00043163772,35.352280365625575,-80.68565541949273,0,1,6126.495,-0.01020707,3,1,false,false,-1.565546,5.016651,8.90947,0.0045865313,-0.017748557,3
43.562023,0.0006322477,35.3522740560349,-80.68565750985444,0,1,6104.4634,-0.009072224,3,1,false,false,-1.6540226,5.019644,11.8549385,0.004359184,-0.015334739,3
43.64226,0.0008332449,35.352267746719306,-80.68565971017334,0,1,6087.8467,-0.007938469,3,1,false,false,-1.0793782,4.606512,11.365103,0.004176992,-0.009751416,3
43.714817,0.0010345876,35.35226143712864,-80.68566191049223,0,1,6103.2354,-0.006804715,3,1,false,false,-1.4027357,4.229316,7.3866606,0.0040650927,-0.005273856,3
43.782516,0.00123625,35.35225512781304,-80.68566400085393,0,1,6142.6006,-0.006520727,3,1,false,false,-1.5572841,4.0064898,6.7576265,0.0039670845,-0.001122324,3
43.851715,0.0014382318,35.35224881822237,-80.68566620117282,0,1,6156.7217,-0.007655579,3,1,false,false,-1.1249634,4.3503327,9.387467,0.0038401089,0.0009128472,3
43.927147,0.0016405416,35.35224241868331,-80.68566840149171,0,1,6146.5757,-0.009072221,3,1,false,false,-0.9098682,4.6125712,10.830727,0.0036836448,-0.00047875298,3
44.001286,0.0018432055,35.352236109092644,-80.68567060197849,0,1,6164.8994,-0.009640196,3,1,false,false,-1.1133525,4.2946467,9.526226,0.003547284,-0.0065241833,3
44.071106,0.0020462063,35.35222970955358,-80.68567280229738,0,1,6235.7476,-0.0073715923,3,1,false,false,-1.210944,4.090531,9.127735,0.0033830616,-0.015956545,3
44.14635,0.002249527,35.35222331001452,-80.68567500261626,0,1,6282.2114,-0.004819,3,1,false,false,-1.2318456,4.878697,9.888062,0.0031928937,-0.020293716,3
44.23321,0.0024532184,35.3522169102004,-80.68567720293517,0,1,6233.8276,-0.00084976736,3,1,false,false,-1.1102201,5.230684,9.617669,0.0030057426,-0.017557466,3
44.323193,0.0026573208,35.35221051066134,-80.68567940325406,0,1,6160.4766,0.0034034539,3,1,false,false,-0.8626995,5.263002,10.695344,0.0028635855,-0.010943585,3
44.39971,0.0028618108,35.352204111122276,-80.68568160374082,0,1,6160.436,0.007939564,3,1,false,false,-0.7891225,4.0751715,11.052674,0.002783174,-0.0021814662,3
44.463192,0.0030666126,35.35219771130815,-80.6856838040597,0,1,6212.9644,0.012475678,3,1,false,false,-1.0192989,3.7692842,11.37144,0.00279005,0.006971939,3
44.529453,0.0032717176,35.3521912218207,-80.68568600437861,0,1,6252.385,0.01616202,3,1,false,false,-1.210619,4.1726627,11.081553,0.0028923796,0.010539302,3
44.603363,0.003477143,35.35218482200657,-80.6856882046975,0,1,6254.34,0.017296873,3,1,false,false,-0.5077716,4.557095,10.298198,0.0030491739,0.0127634,3
44.67983,0.003682914,35.35217833224405,-80.68569040501639,0,1,6250.436,0.017579764,3,1,false,false,-0.46099293,4.535602,9.001657,0.0032641802,0.014353317,3
44.753643,0.0038890399,35.35217193270499,-80.68569271546035,0,1,6268.7134,0.016728897,3,1,false,false,-0.4324831,4.28282,9.121531,0.0035087958,0.014749866,3
44.824528,0.004095486,35.35216544294247,-80.68569491577924,0,1,6293.445,0.015595139,3,1,false,false,-0.31920505,4.2584844,9.176116,0.003755835,0.014548719,3
44.89772,0.0043022702,35.35215895317995,-80.68569711609813,0,1,6304.329,0.014744279,3,1,false,false,-0.2520514,4.461197,9.592008,0.003993046,0.0144437365,3
44.973484,0.004509401,35.35215246341744,-80.6856993165849,0,1,6306.9146,0.0144602945,3,1,false,false,-0.5208753,4.5517783,9.836171,0.0042467667,0.014214381,3
45.048866,0.0047168774,35.35214597365492,-80.68570162686098,0,1,6314.3906,0.014460293,3,1,false,false,-0.23367912,4.4491043,9.659875,0.004508476,0.014184216,3
45.122936,0.0049247,35.35213939394401,-80.68570382717986,0,1,6324.4053,0.014460293,3,1,false,false,-0.24484318,4.444907,10.45025,0.004785397,0.015423138,3
45.19737,0.0051328614,35.35213290418149,-80.68570602766664,0,1,6332.7397,0.013893418,3,1,false,false,-0.23619616,4.4418664,11.089843,0.0050789984,0.015653582,3
45.271027,0.0053413603,35.35212632419551,-80.68570833794271,0,1,6336.2705,0.012475679,3,1,false,false,-0.48124078,4.3794556,10.552875,0.005357624,0.01414267,3
45.344116,0.0055502057,35.35211974420953,-80.68571053826162,0,1,6341.0977,0.00992418,3,1,false,false,-0.23636115,4.367171,10.179367,0.0055861236,0.012112978,3
45.416416,0.0057593808,35.35211325444701,-80.68571284870556,0,0.99945104,6353.8735,0.0059549483,3,1,false,false,-0.4122091,4.3063335,10.794506,0.005784379,0.010568738,3
45.487976,0.0059688836,35.352106674736106,-80.68571504902447,0,0.99999994,6368.129,0.001701727,3,1,false,false,-0.46252912,4.2978754,10.720734,0.0059388936,0.008104339,3
45.56021,0.0061787236,35.35210009475012,-80.68571724934336,0,1,6378.505,-0.0036863443,3,1,false,false,-0.7682055,4.361052,10.16275,0.006060223,0.005256284,3
45.632214,0.006388893,35.352093424815756,-80.6857195597873,0,1,6390.4346,-0.0096401945,3,1,false,false,-1.0079069,4.2977376,9.376833,0.0061227176,0.000679048,3
45.703842,0.0065993904,35.35208684482978,-80.6857217601062,0,1,6404.088,-0.017011788,3,1,false,false,-1.0268723,4.2967205,10.004737,0.006129324,-0.0020557076,3
45.77553,0.0068102186,35.3520802648438,-80.68572407055015,0,1,6412.7207,-0.022115873,3,1,false,false,-1.0862256,4.3144836,9.491645,0.006065113,-0.0063153673,3
45.847607,0.0070213843,35.35207359490943,-80.68572627086905,0,1,6418.3213,-0.024950251,3,1,false,false,-1.3927257,4.3309565,9.574103,0.005913437,-0.010817479,3
45.91882,0.007232869,35.352066924975055,-80.68572858114513,0,1,6427.1323,-0.025234245,3,1,false,false,-1.4037125,4.2585254,9.068909,0.005662419,-0.016480302,3
45.989677,0.007444691,35.35206034498908,-80.68573089158909,0,0.99945104,6441.316,-0.021831881,3,1,false,false,-1.3428967,4.2522383,10.249166,0.00532314,-0.020644067,3
46.0608,0.007656831,35.35205367505471,-80.68573309190798,0,0.99999994,6454.78,-0.01587803,3,1,false,false,-1.3796184,4.263461,9.716541,0.004939361,-0.023489002,3
46.132042,0.007869307,35.35204700512034,-80.68573540235194,0,1,6467.024,-0.009357303,3,1,false,false,-1.4220587,4.2644696,9.438896,0.0045544105,-0.02316288,3
46.203876,0.008082102,35.3520403349109,-80.68573771262801,0,1,6477.63,-0.0014177407,3,1,false,false,-1.1367371,4.3427615,10.46321,0.004218062,-0.019496648,3
46.275826,0.008295235,35.35203366497653,-80.68574002307197,0,1,6486.457,0.007372688,3,1,false,false,-1.2577119,4.247044,10.386876,0.0039829323,-0.012855562,3
46.346527,0.008508687,35.3520269048187,-80.68574233334805,0,1,6487.907,0.015312251,3,1,false,false,-1.2628573,4.2563167,9.299806,0.0038802098,-0.003047833,3
46.417522,0.008722468,35.352020234884336,-80.685744643792,0,1,6492.0005,0.022967834,3,1,false,false,-0.8633843,4.2678246,9.6394415,0.0039098226,0.0065614893,3
46.488304,0.0089365775,35.352013474726505,-80.6857469540681,0,1,6503.737,0.030622318,3,1,false,false,-0.39634985,4.241432,12.070115,0.0040971064,0.017468333,3
46.55835,0.009151016,35.35200680451707,-80.68574915455486,0,0.99945104,6513.5586,0.035159517,3,1,false,false,-0.59619784,4.1765566,11.227977,0.004462982,0.025644103,3
46.62723,0.009365765,35.35200004435924,-80.68575146483093,0,0.999451,6527.391,0.037428133,3,1,false,false,0.022207439,4.0829086,8.90324,0.0049731606,0.031436943,3
46.694633,0.009580828,35.351993284201406,-80.68575377527489,0,0.99999994,6545.165,0.037428122,3,1,false,false,0.35534525,4.0367475,8.286942,0.0055343267,0.03296463,3
46.762466,0.0097962115,35.351986524043575,-80.68575608555098,0,1,6550.363,0.03629328,3,1,false,false,0.33952534,4.0997334,9.241033,0.0060589574,0.033746757,3
46.831505,0.0100119,35.351979763885744,-80.68575839599492,0,1,6542.45,0.034875542,3,1,false,false,0.37539035,4.1837506,9.058996,0.0065271235,0.03212466,3
46.899506,0.010227913,35.35197300372792,-80.68576070627101,0,1,6551.69,0.032890923,3,1,false,false,0.7781322,3.998578,8.2509,0.006969014,0.032707516,3
46.9647,0.010444237,35.3519661536217,-80.68576301671496,0,1,6591.6064,0.031190284,3,1,false,false,0.22445518,3.8597982,7.9229145,0.0074762693,0.034267247,3
47.030136,0.010660858,35.35195939346387,-80.68576532715892,0,1,6622.439,0.030622317,3,1,false,false,0.68945634,3.9818125,8.020411,0.008011911,0.034338653,3
47.100624,0.010877792,35.35195254308258,-80.685767637435,0,1,6622.585,0.03005544,3,1,false,false,0.48324847,4.3645086,9.033071,0.008553858,0.032418165,3
47.17479,0.011095064,35.35194578292475,-80.68576994787895,0,1,6614.7485,0.030055435,3,1,false,false,0.35602778,4.3984632,9.75471,0.0090871705,0.031686902,3
47.24646,0.011312665,35.35193893254346,-80.68577225815504,0,1,6616.73,0.02977255,3,1,false,false,0.39067054,4.178614,8.865524,0.00963223,0.030939827,3
47.31532,0.011530598,35.351932082437244,-80.68577456859899,0,1,6628.8145,0.028637692,3,1,false,false,1.069864,4.1175504,10.66191,0.010150356,0.03080522,3
47.386242,0.011748843,35.351925232055954,-80.68577687887507,0,1,6638.3496,0.028070822,3,1,false,false,0.67059755,4.2271748,13.2031765,0.010730722,0.033268467,3
47.455612,0.011967418,35.35191829172627,-80.68577918931904,0,1,6638.918,0.027503945,3,1,false,false,0.08694482,4.061733,10.894045,0.011340267,0.030843051,3
47.5234,0.012186305,35.35191144134498,-80.68578149959511,0,1,6641.997,0.024384476,3,1,false,false,0.3126052,4.020119,10.132092,0.011901609,0.02856771,3
47.590527,0.012405497,35.35190459096369,-80.68578381003907,0,1,6654.554,0.021266105,3,1,false,false,0.369655,3.9804575,11.499731,0.012405532,0.027343089,3
47.655083,0.012624995,35.351897650634015,-80.68578612048302,0,1,6655.6743,0.019281482,3,1,false,false,0.26809454,3.9337118,11.186015,0.012842705,0.025975903,3
47.720837,0.012844797,35.35189071002927,-80.6857884307591,0,1,6658.8403,0.017579759,3,1,false,false,-0.028648555,3.8844132,8.8418,0.013204087,0.021717532,3
47.7844,0.013064886,35.35188385992304,-80.68579074120306,0,1,6682.743,0.017296866,3,1,false,false,0.12337774,3.7507002,8.781671,0.013505048,0.019711636,3
47.84674,0.013285281,35.35187691931829,-80.68579305147914,0,1,6705.64,0.01701288,3,1,false,false,0.06616622,3.7752883,8.514142,0.013771995,0.018454183,3
47.912144,0.013505955,35.35186997898862,-80.6857953619231,0,1,6715.106,0.017863747,3,1,false,false,0.475856,4.014169,9.686503,0.014022324,0.018518317,3
47.979206,0.013726952,35.351863038658934,-80.68579756224199,0,1,6720.153,0.020131253,3,1,false,false,0.33903873,4.0178742,9.663667,0.014322244,0.020381933,3
48.045807,0.013948244,35.3518560081058,-80.68579987268595,0,1,6737.1934,0.022967827,3,1,false,false,0.23797554,3.8945932,9.026472,0.014692054,0.021650786,3
48.11125,0.01416984,35.35184906750105,-80.68580218296202,0,1,6752.9917,0.025235336,3,1,false,false,0.19458562,3.9149714,9.164979,0.01511086,0.02326463,3
48.17852,0.014391749,35.351842127171366,-80.68580449340598,0,1,6754.879,0.026653076,3,1,false,false,0.45002156,4.0367293,10.022468,0.015560609,0.025427578,3
48.24594,0.014613955,35.35183509661823,-80.68580680368206,0,1,6744.204,0.026937068,3,1,false,false,0.40960634,4.0737386,11.690615,0.016029866,0.027791848,3
48.31181,0.014836485,35.35182806606509,-80.68580911412602,0,1,6742.1543,0.027221056,3,1,false,false,0.4915673,3.8397582,10.019632,0.016514648,0.029408656,3
48.373573,0.015059293,35.351821035511946,-80.6858114244021,0,1,6756.4478,0.02580222,3,1,false,false,0.36780488,3.6086705,9.025867,0.01699746,0.030691572,3
48.434708,0.015282391,35.3518140949072,-80.68581373484605,0,1,6772.9873,0.022967834,3,1,false,false,0.045620024,3.74984,9.731637,0.017444363,0.029708069,3
