Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
42.35127,9.6825395e-05,35.352291271936515,-80.68565343908823,0,1,5987.685,0.015252736,3,1,false,false,0.333965,4.507206,9.042348,0.0139152175,0.020735689,3
42.42985,0.0002922349,35.35228505256931,-80.68565541949273,0,1,5995.659,0.015736787,3,1,false,false,0.25645643,4.83714,7.633731,0.014336511,0.022136698,3
42.514347,0.00048800843,35.35227892342556,-80.68565750985444,0,1,5990.322,0.015495231,3,1,false,false,0.044552684,5.130179,9.470735,0.014749152,0.021306917,3
42.600384,0.00068418815,35.35227279428182,-80.68565949009108,0,1,5973.4097,0.013074044,3,1,false,false,0.083400846,5.1056046,12.152399,0.015136217,0.020702267,3
42.68229,0.0008807493,35.3522665749146,-80.68566158045279,0,1,5957.3804,0.009442258,3,1,false,false,2.092123e-05,4.679006,9.710551,0.015508952,0.020796422,3
42.75748,0.0010776747,35.35226035554739,-80.68566367081449,0,1,5976.4844,0.0050839325,3,1,false,false,-0.38885367,4.383007,7.00716,0.015841609,0.018718122,3
42.827675,0.0012749297,35.352254136180186,-80.68566565105114,0,1,6015.7383,-0.0026627458,3,1,false,false,-0.46347767,4.1649313,7.124391,0.016071014,0.016228003,3
42.900562,0.0014725144,35.35224791681298,-80.68566774141284,0,1,6027.116,-0.011620955,3,1,false,false,-0.22227389,4.588998,10.090778,0.016176833,0.012282978,3
42.979195,0.0016704543,35.35224169744577,-80.68566972181735,0,1,6018.003,-0.020095114,3,1,false,false,-0.41115817,4.7131414,10.699127,0.016181905,0.0057840683,3
43.055256,0.0018687581,35.35223547807856,-80.68567181217905,0,1,6043.4453,-0.026148077,3,1,false,false,-1.0928414,4.3977966,9.982118,0.016120894,-0.006663218,3
43.12756,0.0020674078,35.352229258711354,-80.68567390237288,0,1,6116.98,-0.030505477,3,1,false,false,-1.2116102,4.2579327,9.042613,0.015940523,-0.021053769,3
43.206608,0.0022663868,35.35222294939575,-80.6856758827774,0,1,6151.4663,-0.03292666,3,1,false,false,-1.3924675,5.137804,9.955159,0.015626678,-0.03137877,3
43.296715,0.002465762,35.352216730028545,-80.68567797313911,0,1,6093.857,-0.033653203,3,1,false,false,-1.4147354,5.440747,9.627831,0.015199459,-0.034684464,3
43.388546,0.0026655572,35.35221042043788,-80.68568006350081,0,1,6028.146,-0.033653203,3,1,false,false,-1.3863223,5.2658525,10.844559,0.014714719,-0.032788143,3
43.46542,0.0028657487,35.352204111122276,-80.68568215369464,0,1,6035.533,-0.031716067,3,1,false,false,-1.5213364,4.148264,10.870723,0.014225835,-0.026997296,3
43.531265,0.0030662604,35.35219780153161,-80.68568424405635,0,1,6090.2944,-0.028568339,3,1,false,false,-2.0274537,3.931444,11.238028,0.013784178,-0.021134377,3
43.600487,0.003267083,35.35219149221601,-80.68568633441805,0,1,6127.5835,-0.027116187,3,1,false,false,-2.3462353,4.350999,10.952363,0.01338078,-0.022107536,3
43.677193,0.0034682425,35.35218518262534,-80.68568842477976,0,1,6128.8594,-0.026632136,3,1,false,false,-1.7531115,4.7042522,10.179544,0.012957046,-0.024753157,3
43.755753,0.0036697637,35.35217878308628,-80.68569051514146,0,1,6127.6187,-0.026632134,3,1,false,false,-1.7055794,4.6393595,8.877281,0.012524112,-0.026376845,3
43.831688,0.0038716386,35.352172473495614,-80.68569260550316,0,1,6148.075,-0.027116183,3,1,false,false,-1.880481,4.421103,9.121307,0.012082488,-0.02755587,3
43.905178,0.0040738583,35.35216607395655,-80.68569469569698,0,1,6171.3066,-0.02735774,3,1,false,false,-1.7584381,4.423635,9.222921,0.011628854,-0.027543243,3
43.981148,0.0042764232,35.35215976436589,-80.68569678605868,0,1,6179.4854,-0.026873691,3,1,false,false,-1.805449,4.616753,9.674118,0.011169667,-0.027420148,3
44.05932,0.004479341,35.352153364826826,-80.68569898637759,0,1,6181.6035,-0.026148086,3,1,false,false,-2.1444304,4.6710033,9.9551525,0.010723291,-0.028095534,3
44.13674,0.0046826126,35.35214696528777,-80.68570107673929,0,1,6191.16,-0.025179045,3,1,false,false,-2.0009685,4.5612965,9.727826,0.010278134,-0.02818474,3
44.21262,0.004886246,35.35214056547364,-80.685703167101,0,1,6202.1694,-0.023241911,3,1,false,false,-1.9538878,4.541971,10.312874,0.009859347,-0.025647748,3
44.289272,0.005090223,35.35213416593458,-80.68570536741989,0,1,6210.4624,-0.020095117,3,1,false,false,-1.9857647,4.592593,11.0904875,0.009482432,-0.023603905,3
44.365505,0.005294554,35.352127766395526,-80.68570756790665,0,1,6214.4146,-0.016220842,3,1,false,false,-2.089626,4.539717,10.743915,0.009137671,-0.021483181,3
44.440758,0.0054992377,35.35212127663301,-80.68570965810048,0,1,6218.569,-0.012347499,3,1,false,false,-1.902547,4.5024767,9.903772,0.008818498,-0.018665878,3
44.515305,0.005704266,35.352114877093946,-80.68571185858724,0,1,6231.03,-0.008958208,3,1,false,false,-1.5864224,4.433623,10.6075325,0.0085555045,-0.013955284,3
44.58897,0.00590963,35.35210838733143,-80.68571405890614,0,1,6246.692,-0.006052969,3,1,false,false,-1.5288122,4.4072027,10.811582,0.0083506005,-0.010682442,3
44.663162,0.0061153304,35.352101987517294,-80.68571614926785,0,1,6257.486,-0.0041158316,3,1,false,false,-1.5208309,4.469569,10.180652,0.008212715,-0.0067924256,3
44.73765,0.0063213753,35.352095497754775,-80.68571834958674,0,1,6268.217,-0.0033892891,3,1,false,false,-1.7481492,4.4266095,9.3344,0.008132255,-0.00526528,3
44.811394,0.006527765,35.352089007992255,-80.68572054990562,0,1,6283.0796,-0.004358326,3,1,false,false,-1.2159414,4.4124303,9.843675,0.008092199,-0.0012619485,3
44.88517,0.006734493,35.352082518229736,-80.68572275022453,0,1,6293.901,-0.006294529,3,1,false,false,-1.1089449,4.431948,9.596514,0.008104492,0.0013327814,3
44.959526,0.0069415597,35.35207602874229,-80.68572495054342,0,1,6299.375,-0.008231664,3,1,false,false,-1.1091255,4.47656,9.417311,0.00813499,0.002590322,3
45.033535,0.007148971,35.35206944875631,-80.68572715103018,0,1,6306.019,-0.010652851,3,1,false,false,-1.2217882,4.3934374,8.781932,0.008147934,0.0007903881,3
45.10671,0.007356719,35.35206295899379,-80.68572935134907,0,1,6320.198,-0.01283155,3,1,false,false,-0.9857151,4.39388,9.74846,0.0081043355,-0.002367286,3
45.180035,0.0075648036,35.35205646923127,-80.68573155166797,0,1,6335.7656,-0.013800586,3,1,false,false,-0.9723533,4.412007,10.164956,0.008008225,-0.0064053424,3
45.254013,0.0077732326,35.35204988924529,-80.68573375198686,0,1,6348.935,-0.013558092,3,1,false,false,-1.0795329,4.438913,9.59814,0.007870191,-0.010046663,3
45.328285,0.007981999,35.35204330953439,-80.68573606243082,0,1,6359.762,-0.0123475,3,1,false,false,-0.8414797,4.453446,9.318686,0.0076947715,-0.0122556845,3
45.403515,0.008191111,35.35203672954841,-80.68573826274971,0,1,6370.908,-0.009926312,3,1,false,false,-1.1665709,4.4966865,10.905824,0.00751572,-0.013126123,3
45.477478,0.008400559,35.352030149562424,-80.6857404630686,0,1,6375.493,-0.0077476134,3,1,false,false,-1.172453,4.4084816,9.840073,0.0073526967,-0.010455021,3
45.55153,0.008610354,35.35202356985152,-80.68574266338749,0,1,6375.6465,-0.0058104787,3,1,false,false,-1.3149254,4.4505653,9.053971,0.0072215106,-0.0067384606,3
45.62553,0.008820484,35.35201698986554,-80.68574497383145,0,1,6385.153,-0.004842376,3,1,false,false,-1.1546469,4.425912,10.696007,0.0071246056,-0.0031987263,3
45.6989,0.009030961,35.35201040987956,-80.68574717415034,0,1,6398.758,-0.0048423763,3,1,false,false,-1.423825,4.384955,11.713576,0.007085216,-0.0009341001,3
45.77164,0.009241773,35.35200373994519,-80.68574937446922,0,1,6410.2026,-0.0048423763,3,1,false,false,-1.2526658,4.343622,10.427567,0.007076481,-0.0020107895,3
45.843143,0.009452914,35.35199716023428,-80.68575168491319,0,1,6426.924,-0.0048423763,3,1,false,false,-0.8768183,4.241239,8.369355,0.0070870663,-0.0019779003,3
45.914013,0.0096643735,35.35199049002484,-80.68575388523207,0,1,6440.359,-0.0031477315,3,1,false,false,-0.723785,4.2777915,8.448515,0.0070675863,-0.0014516358,3
45.985744,0.009876171,35.351983820090474,-80.68575619567603,0,1,6437.429,-0.0014530872,3,1,false,false,-0.7758145,4.3613386,9.406923,0.0070031867,-0.00012568655,3
46.05817,0.010088299,35.3519771501561,-80.68575839599492,0,1,6432.06,0.0007265438,3,1,false,false,-0.89969724,4.330134,9.020877,0.006900848,-0.00090292573,3
