Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
44.528378,0.00038111405,35.352283430197446,-80.68566125041335,0,1,6261.752,-0.0038767057,3,1,false,false,-0.99721205,4.7422676,8.944687,0.014917187,-0.012492438,3
44.607357,0.0005865381,35.352276940434926,-80.68566345073224,0,1,6270.6245,-0.0046040565,3,1,false,false,-1.2049313,4.6798124,10.721861,0.014747753,-0.009267718,3
44.685406,0.0007923251,35.35227045067241,-80.68566554109394,0,1,6274.06,-0.00436223,3,1,false,false,-1.372851,4.6050544,9.747611,0.014634183,-0.007681676,3
44.76237,0.0009984671,35.35226396090989,-80.68566763145564,0,1,6276.4277,-0.0046040574,3,1,false,false,-1.6009345,4.545763,7.9987297,0.014554872,-0.0060500326,3
44.83732,0.0012049628,35.35225747114737,-80.68566983177453,0,1,6288.4697,-0.0063015204,3,1,false,false,-1.6121488,4.4128203,7.364442,0.014464632,-0.0041112774,3
44.910633,0.0014117957,35.352250981384856,-80.68567192213624,0,1,6292.986,-0.009936401,3,1,false,false,-1.2859104,4.409786,9.232096,0.014360807,-0.00017569562,3
44.985207,0.0016189743,35.35224440167394,-80.68567412245514,0,1,6291.1006,-0.011875695,3,1,false,false,-1.7096583,4.5059366,10.504683,0.014228866,-0.0032273578,3
45.06146,0.0018265076,35.35223791191142,-80.68567632277403,0,1,6311.569,-0.013572217,3,1,false,false,-1.1033907,4.4878283,11.14805,0.014071137,-0.007874974,3
45.13502,0.0020343787,35.352231331925445,-80.68567841313573,0,1,6351.1343,-0.013087633,3,1,false,false,-1.2124431,4.2876854,10.140088,0.013907959,-0.015520606,3
45.20994,0.0022425954,35.352224842162926,-80.68568061345462,0,1,6381.574,-0.010663752,3,1,false,false,-1.1650212,4.671626,9.811692,0.0137131885,-0.020064551,3
45.29019,0.0024511663,35.35221826245202,-80.6856828139414,0,1,6366.388,-0.00920999,3,1,false,false,-1.5336795,4.7903066,9.846933,0.013479642,-0.020814652,3
45.372093,0.002660107,35.35221168246604,-80.68568501426029,0,1,6329.6963,-0.008482639,3,1,false,false,-1.1251554,4.8585305,10.963718,0.0132155875,-0.017986152,3
45.44761,0.0028694188,35.352205102480056,-80.68568710462199,0,1,6325.5986,-0.007998051,3,1,false,false,-1.0400251,4.2769876,10.517428,0.012972881,-0.011677792,3
45.516396,0.0030790595,35.35219852276915,-80.68568930494088,0,1,6358.234,-0.0075134616,3,1,false,false,-1.7059085,4.058645,10.488726,0.012776448,-0.00883657,3
45.58492,0.0032890118,35.35219194278317,-80.68569150525977,0,1,6395.033,-0.0087254,3,1,false,false,-1.7658033,4.17733,10.7128525,0.0125906365,-0.009612299,3
45.657204,0.0034992932,35.3521852728488,-80.68569370557867,0,1,6406.4326,-0.011875694,3,1,false,false,-1.4767905,4.4255633,9.729032,0.012393255,-0.011805601,3
45.73259,0.0037099114,35.35217869286282,-80.68569590589756,0,1,6406.6387,-0.014299571,3,1,false,false,-1.4416745,4.5225115,9.051273,0.012166516,-0.014752007,3
45.80727,0.0039208834,35.35217202292846,-80.68569810638432,0,1,6418.3315,-0.015754271,3,1,false,false,-1.4287863,4.3695297,9.239242,0.011901888,-0.017713651,3
45.87941,0.004132184,35.35216535271901,-80.68570030670321,0,1,6435.448,-0.016966205,3,1,false,false,-1.5082604,4.312821,9.201757,0.011588879,-0.019870553,3
45.95257,0.0043438217,35.35215877300811,-80.68570250702211,0,1,6445.3413,-0.017208973,3,1,false,false,-1.6328363,4.427372,9.55022,0.011237164,-0.02144933,3
46.02746,0.0045558047,35.35215210279866,-80.68570481746606,0,1,6453.012,-0.01841997,3,1,false,false,-1.9607234,4.466795,10.256881,0.010867315,-0.024046736,3
46.10109,0.0047681327,35.3521454328643,-80.68570701778496,0,1,6462.0264,-0.020116506,3,1,false,false,-1.7964886,4.4176526,10.294991,0.010473714,-0.025048876,3
46.175247,0.004980797,35.35213867270647,-80.68570921810385,0,1,6471.9653,-0.0215712,3,1,false,false,-1.9344889,4.413967,10.481964,0.010088602,-0.02587566,3
46.248653,0.005193798,35.3521320027721,-80.68571152854781,0,1,6482.3325,-0.02181303,3,1,false,false,-2.0053039,4.3617964,10.598492,0.009698696,-0.026662448,3
46.32128,0.0054071355,35.35212533256266,-80.6857137288667,0,1,6486.1694,-0.021571208,3,1,false,false,-2.2815619,4.358277,10.114063,0.009286663,-0.026912522,3
46.393875,0.0056208083,35.35211857240483,-80.68571603914278,0,1,6489.459,-0.02108662,3,1,false,false,-1.985213,4.3350925,10.489428,0.008854159,-0.026528897,3
46.4655,0.005834809,35.35211190247046,-80.68571823946168,0,1,6498.693,-0.020359268,3,1,false,false,-2.140143,4.269829,10.778702,0.008420471,-0.025495576,3
46.536438,0.006049144,35.35210514231263,-80.68572054990562,0,1,6511.539,-0.019389156,3,1,false,false,-1.95275,4.247926,10.46648,0.008002727,-0.023959022,3
46.60678,0.006263798,35.3520983821548,-80.68572286034959,0,1,6526.563,-0.018661804,3,1,false,false,-2.2358935,4.199192,9.589999,0.0076097925,-0.023469342,3
46.67693,0.0064787716,35.35209162199697,-80.68572506066847,0,1,6540.274,-0.017935392,3,1,false,false,-1.9050233,4.2433825,9.730989,0.0072180736,-0.022790262,3
46.74797,0.0066940724,35.352084861839145,-80.68572737094456,0,1,6551.149,-0.017693564,3,1,false,false,-2.0456805,4.2601056,10.029055,0.0068476372,-0.02221744,3
46.819176,0.006909712,35.352078101681315,-80.68572968138851,0,1,6558.2485,-0.017208977,3,1,false,false,-2.0035877,4.298271,9.677707,0.0064953677,-0.020688308,3
46.89005,0.00712567,35.352071341523484,-80.6857319916646,0,1,6566.5767,-0.016238865,3,1,false,false,-1.9578618,4.2221527,8.95954,0.0061602746,-0.020382492,3
46.960167,0.0073419474,35.35206458136565,-80.68573430210854,0,1,6578.227,-0.014057744,3,1,false,false,-1.8408755,4.223305,9.923203,0.0058143525,-0.020218924,3
47.03088,0.007558552,35.35205773098436,-80.6857366125525,0,1,6586.65,-0.01187569,3,1,false,false,-1.8387667,4.2436147,9.951415,0.005472327,-0.020000454,3
47.100998,0.0077754827,35.35205097082653,-80.68573892282859,0,1,6594.201,-0.008725398,3,1,false,false,-1.598818,4.1938276,9.416582,0.0051478827,-0.018186115,3
47.171257,0.007992733,35.352044120720315,-80.68574123327254,0,1,6604.5166,-0.0048468197,3,1,false,false,-1.3682042,4.261276,10.018121,0.0048708445,-0.014734708,3
47.242393,0.008210302,35.352037270339025,-80.68574365367368,0,1,6618.369,-0.0014528277,3,1,false,false,-1.6132069,4.208277,11.097583,0.004673555,-0.011708873,3
47.31217,0.0084282,35.352030419957735,-80.68574596394977,0,1,6626.542,0.0024248157,3,1,false,false,-1.8245416,4.182387,10.006145,0.004540473,-0.008019173,3
47.381847,0.008646427,35.35202356985152,-80.68574827439372,0,1,6631.042,0.0041213436,3,1,false,false,-1.4595287,4.1619377,8.874718,0.004493126,-0.002286821,3
47.4512,0.008864963,35.35201671947023,-80.6857505846698,0,1,6639.6304,0.006545222,3,1,false,false,-0.76786065,4.175805,10.995237,0.004504013,0.0025831333,3
